Référence interne;Titre du produit;Type de Produit;Marque;Plage de poids;Descriptif détaillé du produit;Prix Public;Prix de vente;Quantité;Qualité;Commentaire d'annonce;Commentaire privé;Images - URL Vue 1;Images - URL Vue 2;Expédition, Retrait;Téléphone;Code Postal;Pays
4032498243610;CURVE VIOLET - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Gr&amp;acirc;ce &amp;agrave; sa poign&amp;eacute;e,&amp;nbsp; l&amp;rsquo;utilisatrice peut l&amp;rsquo;actionner selon son d&amp;eacute;sir.Cette m&amp;ecirc;me poign&amp;eacute;e permet aussi une stimulation clitoridienne. Un sex toys complet pour un maximum de plaisir.Ce sex toys est:Non vibrantSilicone hypoallerg&amp;eacute;niqueLongueur: 20 cmDiam&amp;egrave;tre : 4 cmCouleur : Rose , Violet.";32.53;32.53;498;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/c/u/curve_violet_1_2.jpg;http://www.keepsecret.com/media/catalog/product/c/u/curve_violet_1_2.jpg;EXP / RET;+(33)826140202;75010;France
4032498241081;TIGER NOIR - Fun Factory ;Gode;Fun Factory ;De 500 g a 3 kg;"La base stable du sex toys Tiger permet une utilisation qui vous laisse les mains libres pour d&amp;#39;autres plaisirs.&amp;nbsp;Tiger est un sex toys:Non vibrantSilicone Longueur : 22 cmDiam&amp;egrave;tre : 4 cm.";50.08;50.08;386;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/t/i/tiger_noir_1.jpg;http://www.keepsecret.com/media/catalog/product/t/i/tiger_noir_1.jpg;EXP / RET;+(33)826140202;75010;France
63;AMOR VIOLET - Gode by Fun Factory ;Gode; ;De 250 g a 500 g;"Amor est un superbe dildo aux dimensions id&amp;eacute;ales. La prise en main de l&amp;#39;embase est parfaite et il peut-&amp;ecirc;tre mont&amp;eacute; sur une ceinture sp&amp;eacute;ciale. Ce sex toys convient parfaitement pour la p&amp;eacute;n&amp;eacute;tration vaginale et anale.Amor est un sex toys:Non vibrantEn silicone hypoallerg&amp;eacute;niqueLongueur 14,5cmDiam&amp;egrave;tre 3,3cmCouleur : Noir, Violet.";33.36;33.36;41;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/a/m/amor_violet4.jpg;http://www.keepsecret.com/media/catalog/product/a/m/amor_violet4.jpg;EXP / RET;+(33)826140202;75010;France
4032498225081;AMOR NOIR - Gode by Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Amor est un superbe dildo aux dimensions id&amp;eacute;ales. La prise en main de l&amp;#39;embase est parfaite et il peut-&amp;ecirc;tre mont&amp;eacute; sur une ceinture sp&amp;eacute;ciale. Ce sex toys convient parfaitement pour la p&amp;eacute;n&amp;eacute;tration vaginale et anale.Amor est un sex toys:Non vibrantEn silicone hypoallerg&amp;eacute;niqueLongueur 14,5cmDiam&amp;egrave;tre 3,3cmCouleur : Noir, Violet.";33.36;33.36;49;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/a/m/amor1.jpg;http://www.keepsecret.com/media/catalog/product/a/m/amor1.jpg;EXP / RET;+(33)826140202;75010;France
4032498244068;SHARE VIOLET - Fun Factory ;Gode;Fun Factory ;De 500 g a 3 kg;"Le gode Share et un sextoys qui s&amp;#39;adapte impeccablement aux anatomies f&amp;eacute;minines et masculines.L&amp;rsquo;extr&amp;eacute;mit&amp;eacute; courte et arrondie de Share stimule le point G tandis que le gode de l&amp;rsquo;autre extr&amp;eacute;mit&amp;eacute; permet de donner un maximum de plaisir &amp;agrave; son/sa partenaire.N&amp;rsquo;h&amp;eacute;sitez plus, avec le gode Share, &amp;eacute;changez les r&amp;ocirc;les et partagez vos envies !Un sex toys flexible et durable.Share est un sex toys :Non vibrantSilicone&amp;nbsp; hypoallerg&amp;eacute;niqueDimensions: 24cmDiam&amp;egrave;tre: maximum 4cmCouleur : violet,&amp;nbsp; noir, rose.";66.81;66.81;496;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/s/h/share_violet3.jpg;http://www.keepsecret.com/media/catalog/product/s/h/share_violet3.jpg;EXP / RET;+(33)826140202;75010;France
4032498244082;SHARE NOIR - Fun Factory ;Gode;Fun Factory ;De 500 g a 3 kg;"Le gode Share et un sextoys qui s&amp;#39;adapte impeccablement aux anatomies f&amp;eacute;minines et masculines. L&amp;rsquo;extr&amp;eacute;mit&amp;eacute; courte et arrondie de Share stimule le point G tandis que le gode de l&amp;rsquo;autre extr&amp;eacute;mit&amp;eacute; permet de donner un maximum de plaisir &amp;agrave; son/sa partenaire.N&amp;rsquo;h&amp;eacute;sitez plus, avec le gode Share, &amp;eacute;changez les r&amp;ocirc;les et partagez vos envies !Un sex toys flexible et durable.Share est un sex toys :Non vibrantSilicone&amp;nbsp; hypoallerg&amp;eacute;niqueDimensions: 24cm Diam&amp;egrave;tre: maximum 4cmCouleur : violet,&amp;nbsp; noir, rose.";66.81;66.81;495;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/s/h/share_noir_1_1.jpg;http://www.keepsecret.com/media/catalog/product/s/h/share_noir_1_1.jpg;EXP / RET;+(33)826140202;75010;France
67;BANDITO NOIR GODE - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Ce surprenant godemichet au design fun et &amp;agrave; la forme parfaitement &amp;eacute;tudi&amp;eacute;e pour des plaisirs tout en douceur, vous emm&amp;egrave;ne vers de merveilleux orgasmes. Un sex toys moderne, styl&amp;eacute; et ergonomique.Bandito est un sex toys:Non VibrantSilicone hypoallerg&amp;eacute;niqueInodoreLongueur : 15 cmDiam&amp;egrave;tre : 2.5 cmCouleurs : Noir, Violet.";33.36;33.36;500;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/b/a/bandito3.jpg;http://www.keepsecret.com/media/catalog/product/b/a/bandito3.jpg;EXP / RET;+(33)826140202;75010;France
68;DOUBLE MINOU GODE - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Godemichet, utilisation vaginale ou anale, ce sex toys peut &amp;ecirc;tre utilis&amp;eacute; seul ou &amp;agrave; deux.Double minou est un sex toys:Non vibrantSilicone hypoallerg&amp;eacute;niqueLongueur : 34 cm Diam&amp;egrave;tre : 4,5 cmCouleur : violet.";66.81;66.81;0;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/d/o/double_minou_2.jpg;http://www.keepsecret.com/media/catalog/product/d/o/double_minou_2.jpg;EXP / RET;+(33)826140202;75010;France
71;PLUG DAUPHIN - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Un plug grande taille pour satisfaire les plus gourmands.D&amp;rsquo;une douceur extr&amp;ecirc;me, sa forme l&amp;eacute;g&amp;egrave;rement recourb&amp;eacute;e trouvera votre point G pour votre plus grand bonheur !Chauff&amp;eacute;s ou refroidis, ces sex toys vous offriront toujours une stimulation vari&amp;eacute;e.&amp;nbsp;Le plug dauphin est un sex toys:Non VibrantSilicone hypoallerg&amp;eacute;niqueLongueur : 17,5cmDiam&amp;egrave;tre : 3,5cmCouleur : Bleu.";33.36;33.36;500;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/p/l/plug_dauphin_1_1.jpg;http://www.keepsecret.com/media/catalog/product/p/l/plug_dauphin_1_1.jpg;EXP / RET;+(33)826140202;75010;France
72;MAGNUM VIOLET - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Equip&amp;eacute; d&amp;#39;un pied stable, il est maniable et utilisable avec un harnais.Que ce soit refroidi ou r&amp;eacute;chauff&amp;eacute;, dans la baignoire ou sur le sol ferme, ce dildo vous procurera de savoureuses sensations. Un sex toys de r&amp;eacute;f&amp;eacute;rence pour des plaisirs vari&amp;eacute;s.Ce sex toys est:Non vibrantSilicone hypoallerg&amp;eacute;niqueLongueur: 22 cmDiam&amp;egrave;tre: 4 cmCouleurs : Violet, Noir.";50.08;50.08;25;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/a/m/amor_violet2_1.jpg;http://www.keepsecret.com/media/catalog/product/a/m/amor_violet2_1.jpg;EXP / RET;+(33)826140202;75010;France
